sb3_file_name,used_config,iteration,last_duration,duration_of_first_repair,file_folders
8-Schatzinsel-mio-minimizie-false.json-repetition-2-repaired.sb3,minimize-false,508,38498599,0,99-minimize-false
4-Fangen-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,514,38471298,0,247-no-assertion
raumschiff-buggy-9-repaired.sb3,manual-written,184,38450929,0,51-manual
3-HappyNewYear-mio-no-test.json-repetition-4-repaired.sb3,no-test,520,38410281,0,243-no-test
9-Sternenjagd-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,578,38445662,0,240-minimize-false
boat-race-buggy-19-repaired.sb3,minimize-true-2er,545,38443592,0,235-mio.json
4-Fangen-mio-no-test.json-repetition-3-repaired.sb3,no-test,581,38473041,0,232-no-test
7-Raumschiff-mio-no-test.json-repetition-1-repaired.sb3,no-test,525,38477959,0,229-no-test
7-Raumschiff-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,516,38427297,0,228-minimize-false
2-Geisterwald-mio.json-repetition-5-repaired.sb3,minimize-true,510,38402475,0,52-mio.json
2-Geisterwald-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,427,38573878,0,53-no-assertion
2-Geisterwald-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,455,38424345,0,224-no-assertion
2-Geisterwald-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,499,38460051,0,338-no-assertion
5-Labyrinth-mio-no-test.json-repetition-3-repaired.sb3,no-test,667,38416914,0,220-no-test
7-Raumschiff-mio-no-test.json-repetition-1-repaired.sb3,no-test,668,38443518,0,58-no-test
3-HappyNewYear-mio-minimizie-false.json-repetition-1-repaired.sb3,minimize-false,591,38476828,0,59-minimize-false
raumschiff-buggy-2-repaired.sb3,minimize-true-2er,544,38421643,0,212-mio.json
4-Fangen-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,590,38402511,0,206-minimize-false
8-Schatzinsel-mio-no-assertion.json-repetition-2-repaired.sb3,no-assertion,466,38459005,0,204-no-assertion
4-Fangen-mio-no-test.json-repetition-3-repaired.sb3,no-test,595,38430283,0,61-no-test
2-Geisterwald-mio-no-test.json-repetition-2-repaired.sb3,no-test,543,38423747,0,2.json-no-test
3-HappyNewYear-mio-minimizie-false.json-repetition-1-repaired.sb3,minimize-false,586,38463801,0,2-minimize-false
8-Schatzinsel-mio-no-test.json-repetition-2-repaired.sb3,no-test,597,38429385,0,62-no-test
boat-race-buggy-1-repaired.sb3,minimize-true-2er,588,38463204,0,195-mio.json
boat-race-buggy-1-repaired.sb3,minimize-true-2er,576,38402403,0,252-mio.json
8-Schatzinsel-mio-no-assertion.json-repetition-2-repaired.sb3,no-assertion,489,38483616,0,261-no-assertion
4-Fangen-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,576,38411016,0,263-minimize-false
raumschiff-buggy-2-repaired.sb3,minimize-true-2er,541,38452453,0,98-mio.json
7-Raumschiff-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,572,38447418,0,342-minimize-false
raumschiff-buggy-9-repaired.sb3,manual-written,180,38444281,0,336-manual
4-Fangen-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,600,38463011,0,35-minimize-false
5-Labyrinth-mio-no-test.json-repetition-3-repaired.sb3,no-test,499,38456721,0,334-no-test
4-Fangen-mio-no-test.json-repetition-3-repaired.sb3,no-test,600,38417638,0,4-no-test
raumschiff-buggy-2-repaired.sb3,minimize-true-2er,527,38450981,0,41-mio.json
buggy-K7-12-repaired.sb3,minimize-true-2er,417,38409400,0,314-mio.json
8-Schatzinsel-repaired.sb3,manual-written,251,38468526,0,45-manual
2-Geisterwald-mio-minimizie-false.json-repetition-3-repaired.sb3,minimize-false,625,38412066,0,310-minimize-false
boat-race-buggy-1-repaired.sb3,minimize-true-2er,611,38578132,0,309-mio.json
4-Fangen-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,542,38446170,0,304-no-assertion
3-HappyNewYear-mio-no-assertion.json-repetition-4-repaired.sb3,no-assertion,468,38498680,0,191-no-assertion
buggy-K6-15-repaired.sb3,minimize-true-2er,381,38448035,0,302-mio.json
9-Sternenjagd-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,580,38520538,0,297-minimize-false
6-Papagei-mio-minimizie-false.json-repetition-2-repaired.sb3,minimize-false,595,38435009,0,296-minimize-false
2-Geisterwald-mio-no-test.json-repetition-2-repaired.sb3,no-test,545,38419039,0,295-no-test
8-Schatzinsel-mio-no-test.json-repetition-2-repaired.sb3,no-test,444,38500477,0,290-no-test
buggy-K7-12-repaired.sb3,minimize-true-2er,385,38424002,0,29-mio.json
7-Raumschiff-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,722,38400695,0,285-minimize-false
raumschiff-buggy-9-repaired.sb3,manual-written,196,38427410,0,279-manual
8-Schatzinsel-repaired.sb3,manual-written,298,38414115,0,273-manual
5-Labyrinth-mio-no-test.json-repetition-3-repaired.sb3,no-test,472,38483660,0,49-no-test
8-Schatzinsel-mio-no-test.json-repetition-2-repaired.sb3,no-test,462,38415769,0,5-no-test
raumschiff-buggy-2-repaired.sb3,minimize-true-2er,526,38455295,0,269-mio.json
4-Fangen-mio.json-repetition-4-repaired.sb3,minimize-true,473,38435855,0,298-mio.json
4-Fangen-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,523,38420488,0,190-no-assertion
raumschiff-buggy-9-repaired.sb3,manual-written,201,38507179,0,222-manual
boat-race-buggy-19-repaired.sb3,minimize-true-2er,533,38413333,0,64-mio.json
5-Labyrinth-mio-no-test.json-repetition-3-repaired.sb3,no-test,458,38456239,0,163-no-test
8-Schatzinsel-mio.json-repetition-2-repaired.sb3,minimize-true,505,38474238,0,8.json-mio.json
8-Schatzinsel-mio-no-assertion.json-repetition-2-repaired.sb3,no-assertion,481,38413645,0,90-no-assertion
3-HappyNewYear-mio-minimizie-false.json-repetition-1-repaired.sb3,minimize-false,915,38400919,0,116-minimize-false
2-Geisterwald-mio-minimizie-false.json-repetition-3-repaired.sb3,minimize-false,607,38452633,0,82-minimize-false
4-Fangen-mio-no-test.json-repetition-3-repaired.sb3,no-test,584,38423767,0,118-no-test
8-Schatzinsel-mio-no-test.json-repetition-2-repaired.sb3,no-test,408,38438715,0,119-no-test
buggy-K7-12-repaired.sb3,minimize-true-2er,377,38499195,0,143-mio.json
boat-race-buggy-19-repaired.sb3,minimize-true-2er,570,38446509,0,121-mio.json
raumschiff-buggy9-repaired.sb3,minimize-true-2er,512,38466499,0,122-mio.json
2-Geisterwald-mio-no-test.json-repetition-2-repaired.sb3,no-test,770,38430690,0,124-no-test
6-Papagei-mio-minimizie-false.json-repetition-2-repaired.sb3,minimize-false,583,38437721,0,125-minimize-false
9-Sternenjagd-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,556,38445158,0,126-minimize-false
2-Geisterwald-mio-minimizie-false.json-repetition-3-repaired.sb3,minimize-false,592,38472749,0,139-minimize-false
4-Fangen-mio.json-repetition-4-repaired.sb3,minimize-true,354,38549053,0,127-mio.json
3-HappyNewYear-mio.json-repetition-5-repaired.sb3,minimize-true,441,38425577,0,135-mio.json
4-Fangen-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,527,38402720,0,133-no-assertion
3-HappyNewYear-mio-no-assertion.json-repetition-4-repaired.sb3,no-assertion,473,38499204,0,77-no-assertion
raumschiff-buggy-9-repaired.sb3,manual-written,177,38505639,0,165-manual
2-Geisterwald-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,442,38429567,0,110-no-assertion
7-Raumschiff-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,551,38436031,0,171-minimize-false
13-Winter-mio-no-test.json-repetition-2-repaired.sb3,no-test,585,38450266,0,95-no-test
